epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1600.61,0.97736,3.06151,1.23471,0.57548,0.65378,0.6539,0.46692,1.24298,3.52309,1.72441,0.0008647,0.0008647,0.0008647
43,1638.25,0.97658,3.0267,1.23294,0.53334,0.65855,0.58828,0.41704,1.25422,5.62032,1.7013,0.0008614,0.0008614,0.0008614
44,1675.46,0.96841,2.94302,1.23268,0.53636,0.65752,0.64694,0.4658,1.24547,3.96183,1.69997,0.0008581,0.0008581,0.0008581
45,1713.19,0.97065,2.84489,1.22104,0.53605,0.63553,0.63318,0.44364,1.29167,4.16426,1.73775,0.0008548,0.0008548,0.0008548
46,1750.36,0.96285,2.874,1.22712,0.55309,0.62072,0.64099,0.46073,1.27778,3.92899,1.73728,0.0008515,0.0008515,0.0008515
47,1787.26,0.95905,2.82544,1.21836,0.5346,0.69118,0.64803,0.46443,1.25781,3.52554,1.70938,0.0008482,0.0008482,0.0008482
48,1824.44,0.96378,2.74717,1.21781,0.5233,0.66292,0.64167,0.46188,1.28014,4.41152,1.74139,0.0008449,0.0008449,0.0008449
49,1862.78,0.94616,2.75161,1.20104,0.60251,0.66011,0.65657,0.47364,1.21393,3.69085,1.65777,0.0008416,0.0008416,0.0008416
50,1903.8,0.93669,2.66417,1.21135,0.55798,0.64754,0.66608,0.48074,1.23663,3.65628,1.71044,0.0008383,0.0008383,0.0008383
51,1941.5,0.95296,2.65901,1.22976,0.55941,0.648,0.63035,0.44935,1.33177,3.99967,1.81673,0.000835,0.000835,0.000835
52,1978.66,0.97366,2.69358,1.22917,0.50843,0.65474,0.61274,0.43877,1.27915,4.61653,1.72483,0.0008317,0.0008317,0.0008317
53,2015.95,0.95793,2.64429,1.22148,0.52612,0.64887,0.6429,0.46049,1.29864,3.80013,1.79758,0.0008284,0.0008284,0.0008284
54,2052.95,0.95143,2.62958,1.21624,0.61715,0.60452,0.63775,0.45397,1.28479,3.9784,1.74889,0.0008251,0.0008251,0.0008251
55,2090.67,0.95852,2.62332,1.21325,0.52771,0.60814,0.63128,0.45407,1.28338,3.90347,1.74561,0.0008218,0.0008218,0.0008218
56,2129.78,0.93793,2.58281,1.20388,0.59135,0.60483,0.6437,0.46519,1.24812,4.17583,1.70712,0.0008185,0.0008185,0.0008185
57,2175.68,0.93938,2.51027,1.21083,0.53893,0.64644,0.61794,0.44135,1.27426,4.2267,1.71142,0.0008152,0.0008152,0.0008152
58,2214.86,0.93943,2.47333,1.20992,0.56571,0.61742,0.62543,0.44108,1.26388,4.34894,1.70839,0.0008119,0.0008119,0.0008119
59,2252.14,0.9332,2.43087,1.20073,0.63911,0.61686,0.65813,0.46779,1.25999,3.44631,1.74609,0.0008086,0.0008086,0.0008086
60,2289.25,0.92328,2.43936,1.19744,0.57176,0.65308,0.65646,0.46909,1.26062,3.71242,1.72343,0.0008053,0.0008053,0.0008053
61,2326.14,0.94286,2.40924,1.20643,0.60587,0.60178,0.6295,0.45717,1.22904,4.33924,1.69548,0.000802,0.000802,0.000802
